"商品ID","SPU_ID","货号","颜色","市场价","供货价"
"28","70","7-29SPW1010","7-29SPW1010RR1","499.00","280.00"
"28","71","7-29SPW1010","7-29SPW1010PP2","499.00","280.00"
"27","65","7-29SPM2015","7-29SPM2015LB2","499.00","250.00"
"27","66","7-29SPM2015","7-29SPM2015DR2","499.00","250.00"
"27","67","7-29SPM2015","7-29SPM2015DB4","499.00","250.00"
"26","64","7-29SPM0038","7-29SPM0038NN1","499.00","250.00"
"26","18820","7-29SPM0038","7-29SPM0038DR2","499.00","250.00"
"25","63","7-29SPW1013","7-29SPW1013X96","499.00","250.00"
"24","62","7-29SPW1017","7-29SPW1017PT2","499.00","250.00"
"23","61","7-29SPM0036","7-29SPM003602H","499.00","250.00"
"23","15925","7-29SPM0036","7-29SPM0036X96","499.00","250.00"
"22","60","7-28SPM0103","7-28SPM010321G","499.00","250.00"
"22","18404","7-28SPM0103","7-28SPM0103DB4","499.00","250.00"
"21","57","7-27SPM1035","7-27SPM1035X96","499.00","250.00"
"21","58","7-27SPM1035","7-27SPM1035286","499.00","250.00"
"21","59","7-27SPM1035","7-27SPM1035SW4","499.00","250.00"
"20","54","7-27SPM3044","7-27SPM3044338","499.00","260.00"
"20","55","7-27SPM3044","7-27SPM3044LB2","499.00","260.00"
"20","56","7-27SPM3044","7-27SPM3044LQ2","499.00","260.00"
"19","53","7-28SPM0237","7-28SPM02376K3","599.00","280.00"
"18","49","7-27SPM1082","7-27SPM1082DB4","599.00","280.00"
"18","50","7-27SPM1082","7-27SPM108202H","599.00","280.00"
"18","51","7-27SPM1082","7-27SPM1082DR2","599.00","280.00"
"18","52","7-27SPM1082","7-27SPM108212C","599.00","280.00"
"17","48","7-28SPM0224","7-28SPM022411C","499.00","250.00"
"16","46","7-27SPM1046","7-27SPM1046Y80","499.00","250.00"
"16","47","7-27SPM1046","7-27SPM1046121","499.00","250.00"
"15","44","7-27SPM3003","7-27SPM300311C","499.00","250.00"
"15","45","7-27SPM3003","7-27SPM3003DB4","499.00","250.00"
"14","41","7-25SPM4018","7-25SPM4018DB4","499.00","250.00"
"14","42","7-25SPM4018","7-25SPM401802H","499.00","250.00"
"14","43","7-25SPM4018","7-25SPM401812C","499.00","250.00"
"13","39","7-27SPM3015","7-27SPM3015147","499.00","250.00"
"13","40","7-27SPM3015","7-27SPM3015121","499.00","250.00"
"12","36","7-27SPM1017","7-27SPM101712C","499.00","250.00"
"12","37","7-27SPM1017","7-27SPM1017DB4","499.00","250.00"
"12","38","7-27SPM1017","7-27SPM1017DR2","499.00","250.00"
"11","32","7-20SRM3415","7-20SRM3415024","599.00","260.00"
"11","33","7-20SRM3415","7-20SRM3415003","599.00","260.00"
"11","34","7-20SRM3415","7-20SRM3415001","599.00","260.00"
"11","35","7-20SRM3415","7-20SRM3415047","599.00","260.00"
"10","29","7-26SPM0012","7-26SPM0012080","599.00","290.00"
"10","30","7-26SPM0012","7-26SPM0012250","599.00","290.00"
"10","31","7-26SPM0012","7-26SPM00123A4","599.00","290.00"
"9","24","7-27SPW0150","7-27SPW015021G","499.00","280.00"
"9","25","7-27SPW0150","7-27SPW0150DB4","499.00","280.00"
"9","26","7-27SPW0150","7-27SPW0150DR2","499.00","280.00"
"9","27","7-27SPW0150","7-27SPW015002H","499.00","280.00"
"9","28","7-27SPW0150","7-27SPW015012C","499.00","280.00"
"8","21","7-29SPW1027","7-29SPW1027PP2","499.00","270.00"
"8","22","7-29SPW1027","7-29SPW1027GG2","499.00","270.00"
"8","23","7-29SPW1027","7-29SPW1027RR1","499.00","270.00"
"7","17","7-29SPW1054","7-29SPW1054DB4","499.00","270.00"
"7","18","7-29SPW1054","7-29SPW1054DR2","499.00","270.00"
"7","19","7-29SPW1054","7-29SPW105402H","499.00","270.00"
"7","20","7-29SPW1054","7-29SPW105421G","499.00","270.00"
"6","14","7-30SPM0030","7-30SPM0030CJ2","499.00","260.00"
"6","15","7-30SPM0030","7-30SPM0030DB4","499.00","260.00"
"6","16","7-30SPM0030","7-30SPM0030RR1","499.00","260.00"
"5","10","7-27SPW0112","7-27SPW011217C","499.00","250.00"
"5","11","7-27SPW0112","7-27SPW0112338","499.00","250.00"
"5","12","7-27SPW0112","7-27SPW011213C","499.00","250.00"
"5","13","7-27SPW0112","7-27SPW0112LT9","499.00","250.00"
"4","7","7-29SPW2225","7-29SPW2225X96","499.00","250.00"
"4","8","7-29SPW2225","7-29SPW2225F50","499.00","250.00"
"4","9","7-29SPW2225","7-29SPW2225121","499.00","250.00"
"3","5","7-29SPW1026","7-29SPW1026121","499.00","250.00"
"3","6","7-29SPW1026","7-29SPW1026F50","499.00","250.00"
"2","4","7-29SPW1024","7-29SPW1024X96","499.00","250.00"
"1","1","7-26SPW1021","7-26SPW102121G","599.00","290.00"
"1","2","7-26SPW1021","7-26SPW102102H","599.00","290.00"
"1","3","7-26SPW1021","7-26SPW1021DB4","599.00","290.00"
